Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1990,3.6,3.5,3.5,3.4,3.8,4.7,4.5,4.5,4.9,4.5,4.6,4.6
1991,4.1,4.1,4.1,3.9,4.3,4.8,4.5,4.4,4.4,4.2,4.3,4.3
1992,3.5,3.3,3.2,3.0,2.8,3.3,3.5,3.1,3.2,2.6,2.8,2.8
1993,2.9,2.6,2.4,2.2,2.3,2.6,2.8,2.6,2.5,2.4,2.5,2.4
1994,2.8,2.5,2.5,2.0,2.1,2.4,2.4,2.2,2.4,2.1,1.8,1.8
1995,2.5,2.2,2.1,2.0,1.9,2.4,2.3,2.2,2.2,2.1,1.9,1.8
1996,2.2,1.9,1.7,1.6,1.7,2.1,2.2,1.8,1.9,1.5,1.5,1.3
1997,1.9,1.6,1.7,1.4,1.5,1.9,1.9,1.6,1.7,1.4,1.4,1.4
1998,2.0,1.7,1.8,1.4,1.5,1.9,1.8,1.5,1.6,1.3,1.2,1.0
1999,1.5,1.4,1.4,1.3,1.4,1.9,1.8,1.6,1.6,1.3,1.2,1.1
2000,2.8,1.7,1.9,1.7,1.4,2.7,2.5,1.9,1.9,1.6,1.6,1.6
2001,2.9,2.1,2.1,1.7,1.9,2.6,2.8,2.2,2.4,1.9,2.0,2.2
2002,2.8,2.3,2.4,2.3,2.4,3.9,3.4,2.9,3.1,2.3,2.6,2.5
2003,3.5,3.0,3.0,3.2,3.4,4.6,3.9,3.6,3.3,2.6,2.7,2.4
2004,3.4,2.8,2.7,3.2,3.3,4.9,4.7,3.5,3.0,2.7,2.7,2.3
2005,3.1,3.0,2.7,3.4,3.7,4.9,4.6,3.8,3.0,3.2,3.6,2.4
2006,2.9,3.0,2.3,2.8,3.2,5.1,5.3,3.9,3.7,3.1,3.4,2.1
2007,3.1,2.9,2.1,2.5,3.1,4.6,4.6,3.0,3.2,3.1,3.2,3.1
2008,4.1,3.0,2.8,2.5,4.2,5.8,5.9,4.5,4.2,3.6,4.4,3.8
2009,4.7,4.0,2.9,2.8,4.5,7.6,7.7,5.7,6.2,4.7,5.4,5.2
2010,6.6,4.8,4.3,5.1,6.1,8.9,8.6,6.7,6.6,5.6,6.0,6.3
2011,6.5,5.1,4.1,5.2,5.5,7.8,7.4,5.3,5.9,4.9,4.6,4.7
2012,5.8,4.4,3.1,4.3,4.7,7.1,6.8,5.2,5.6,5.1,4.9,5.0
2013,6.2,4.6,4.1,5.7,6.7,8.2,7.0,5.7,5.9,5.5,5.4,5.0
2014,5.8,4.6,4.2,4.9,5.1,6.5,6.2,5.2,5.4,4.6,4.8,4.0
2015,4.8,3.6,3.7,4.4,4.9,6.4,5.6,4.3,4.1,3.6,4.1,3.7
2016,3.8,3.4,3.5,3.7,4.2,5.3,4.6,3.7,3.3,2.5,2.4,2.2
2017,3.0,3.2,3.4,3.5,3.9,5.2,5.6,3.6,,,,
