Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1990,5.1,5.1,5.1,5.2,5.5,5.9,6.2,6.4,6.9,6.4,6.6,6.7
1991,7.5,7.7,7.9,7.5,8.3,8.8,8.7,8.9,9.1,8.3,7.9,7.5
1992,8.1,7.9,7.7,7.6,7.9,8.6,8.6,8.4,8.5,7.6,7.3,7.1
1993,7.4,7.3,6.9,6.5,6.8,7.0,6.9,6.7,6.9,6.1,5.7,5.5
1994,6.2,5.8,5.7,5.6,5.6,6.2,6.3,6.1,6.3,5.7,5.5,5.1
1995,5.7,5.2,5.0,5.1,5.0,5.4,5.7,5.5,5.8,5.1,4.8,4.5
1996,5.1,4.7,4.6,4.5,4.8,5.0,5.1,4.5,4.7,4.1,4.0,3.8
1997,4.5,4.1,4.1,3.8,4.1,4.7,4.6,4.3,4.4,3.7,3.5,3.2
1998,3.8,3.5,3.5,3.1,3.4,3.8,3.9,3.4,3.6,3.0,2.8,2.8
1999,3.5,3.2,3.1,3.1,3.2,3.7,3.8,3.5,3.6,3.0,3.0,2.8
2000,3.7,3.2,3.1,2.7,2.8,3.3,3.3,3.0,3.1,2.5,2.6,2.7
2001,3.7,3.5,3.6,3.4,3.7,4.4,4.5,4.4,4.7,4.4,4.5,4.8
2002,5.8,5.5,5.6,5.7,5.8,6.3,6.3,6.0,6.2,5.6,5.7,5.7
2003,6.4,6.1,6.1,6.0,6.3,7.1,6.9,6.7,6.7,5.9,5.8,5.4
2004,6.2,5.7,5.7,5.4,5.6,6.2,6.1,5.6,5.5,5.0,4.9,4.7
2005,5.4,5.3,5.0,4.9,5.0,5.7,5.6,5.1,5.6,5.0,5.2,4.8
2006,5.2,5.1,4.8,5.0,5.1,5.6,5.5,5.1,5.2,4.5,4.7,4.4
2007,5.1,4.7,4.2,4.1,4.5,5.1,4.9,4.4,4.6,4.0,4.1,4.1
2008,4.8,4.5,4.3,4.1,5.1,5.8,5.8,5.6,6.0,5.7,5.9,6.0
2009,7.0,6.9,6.6,6.5,7.2,8.2,8.2,8.0,8.4,7.9,7.8,7.7
2010,8.3,7.8,7.5,7.4,7.5,8.1,8.1,7.5,7.6,7.1,7.2,6.9
2011,7.4,6.9,6.5,6.4,6.5,7.2,7.0,6.5,6.7,6.1,5.8,5.8
2012,6.4,6.0,5.7,5.6,5.8,6.6,6.6,6.2,6.2,5.9,5.7,5.8
2013,6.6,6.0,5.8,5.8,6.3,7.0,6.8,6.3,6.3,5.8,5.5,5.3
2014,5.8,5.4,5.2,4.9,5.3,5.8,5.9,5.5,5.4,4.8,4.7,4.4
2015,5.0,4.6,4.3,4.1,4.6,5.0,4.9,4.4,4.4,4.0,3.9,3.7
2016,4.1,3.8,3.7,3.4,3.5,4.0,3.8,3.3,3.2,2.7,2.6,2.5
2017,3.4,3.4,3.2,3.4,3.9,4.3,4.2,3.6,,,,
