Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1990,8.9,8.1,8.1,7.3,7.4,7.5,8.1,8.0,7.8,7.8,8.2,8.2
1991,9.7,10.2,10.5,9.6,9.6,9.9,9.7,9.5,9.4,9.5,9.3,9.2
1992,10.8,10.5,10.2,8.9,9.3,10.0,10.4,9.3,9.0,8.3,7.8,7.4
1993,8.2,7.6,7.3,6.5,6.8,7.5,7.5,6.8,6.8,6.9,6.5,6.4
1994,7.7,7.0,6.7,5.4,5.2,5.5,6.1,5.4,4.9,4.6,3.8,3.6
1995,5.2,4.9,5.3,4.8,4.8,5.4,5.9,5.0,4.8,4.3,4.1,3.9
1996,5.2,4.6,5.0,4.1,4.7,5.0,5.8,4.9,4.7,4.6,4.4,4.4
1997,5.4,4.8,4.9,3.9,3.6,4.3,4.9,4.1,4.1,3.9,3.5,3.4
1998,4.5,4.1,4.2,2.9,3.2,4.2,5.3,4.0,4.2,4.1,3.7,3.8
1999,4.7,4.7,4.3,3.5,3.4,4.2,4.5,3.6,3.6,3.5,3.2,3.0
2000,3.4,3.2,3.5,2.5,3.1,3.7,4.4,3.8,3.4,3.1,3.0,3.1
2001,5.1,4.5,4.8,4.1,4.3,5.0,5.3,5.4,5.0,5.5,5.6,5.7
2002,6.8,6.3,6.8,5.9,6.0,6.9,7.2,6.2,5.7,5.7,5.8,6.0
2003,7.2,7.3,7.5,6.9,7.2,8.3,8.4,7.6,7.3,6.9,6.3,6.1
2004,7.2,6.9,7.5,6.1,6.8,7.8,8.4,7.3,7.2,7.2,7.1,7.2
2005,7.7,7.8,7.7,6.8,6.8,7.2,7.7,6.7,6.5,6.2,6.3,6.2
2006,7.1,7.3,7.2,6.5,6.6,7.3,8.4,7.5,7.2,6.9,6.6,6.5
2007,7.7,6.8,6.9,6.4,6.6,7.5,8.2,7.5,7.3,7.4,6.7,7.1
2008,7.6,7.2,7.4,6.5,7.8,8.4,9.2,8.9,8.4,8.7,8.5,9.3
2009,13.1,13.4,14.0,13.8,15.7,17.2,17.2,16.2,15.6,15.6,14.7,14.7
2010,15.6,15.4,15.4,14.1,13.8,14.1,14.9,13.9,13.0,12.6,12.0,11.6
2011,12.3,11.8,11.8,10.7,11.5,12.4,13.0,12.0,11.2,10.7,9.2,9.6
2012,10.4,10.1,10.0,9.0,9.9,10.9,11.8,10.9,9.7,9.9,9.0,9.6
2013,10.8,10.0,9.6,8.6,9.5,10.7,11.2,10.2,9.5,9.6,8.6,8.3
2014,9.0,9.1,9.0,7.6,8.3,8.7,9.5,8.6,7.8,7.5,6.6,6.1
2015,7.0,6.2,6.1,5.3,6.3,6.5,7.0,6.1,5.3,5.6,4.8,4.8
2016,5.4,5.2,5.5,4.6,4.7,5.7,6.3,6.1,5.6,5.7,4.7,4.8
2017,6.2,5.9,5.0,4.0,3.6,3.7,4.4,4.4,,,,
