Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1990,9.2,8.3,7.9,7.2,7.1,7.1,7.6,7.2,7.1,7.0,7.7,8.0
1991,9.5,10.0,10.3,9.4,9.2,9.5,9.4,8.7,8.6,8.5,8.6,8.9
1992,10.5,10.4,10.1,8.9,8.9,9.6,9.8,8.6,8.3,7.6,7.5,7.6
1993,8.4,8.2,7.7,6.9,7.1,7.6,7.7,6.8,6.6,6.6,6.5,6.6
1994,8.1,7.6,7.3,6.2,5.7,6.0,6.5,5.5,5.2,4.9,4.5,4.5
1995,6.0,5.7,5.9,5.6,5.3,5.7,6.1,5.0,4.7,4.3,4.5,4.4
1996,5.8,5.3,5.6,4.8,4.9,5.0,5.7,4.5,4.4,4.1,4.2,4.5
1997,5.5,5.1,5.0,4.1,3.9,4.4,4.8,3.8,3.9,3.5,3.5,3.8
1998,4.8,4.5,4.6,3.1,3.3,4.1,4.9,3.5,3.6,3.4,3.4,3.7
1999,4.6,4.7,4.3,3.6,3.5,4.0,4.2,3.2,3.2,3.0,3.1,3.2
2000,3.8,3.7,3.8,2.9,3.4,3.8,4.6,3.7,3.4,3.1,3.4,3.7
2001,5.3,5.1,5.4,4.6,4.6,5.1,5.5,5.1,4.8,5.1,5.7,6.0
2002,7.2,6.7,7.1,6.2,6.1,6.7,7.0,5.8,5.3,5.2,5.7,6.1
2003,7.3,7.4,7.6,7.0,7.2,8.0,8.3,7.1,6.9,6.5,6.3,6.4
2004,7.5,7.4,7.8,6.4,6.8,7.4,8.0,6.7,6.5,6.5,6.7,7.0
2005,7.5,7.8,7.5,6.6,6.7,6.9,7.4,6.2,6.2,5.8,6.3,6.4
2006,7.2,7.5,7.4,6.8,6.8,7.1,8.1,7.0,6.7,6.3,6.4,6.7
2007,7.7,7.2,7.0,6.6,6.7,7.2,8.0,6.9,6.8,6.7,6.5,7.1
2008,7.7,7.4,7.6,6.7,7.8,8.1,8.9,8.3,7.9,8.0,8.2,9.2
2009,12.1,12.8,13.3,12.8,14.2,15.3,15.4,14.1,13.7,13.6,13.1,13.5
2010,14.4,14.2,14.1,12.9,12.6,12.7,13.5,12.3,11.5,11.1,10.9,10.9
2011,11.5,11.1,11.0,10.0,10.5,11.2,11.8,10.6,10.0,9.4,8.5,9.0
2012,9.7,9.6,9.4,8.3,9.1,9.8,10.6,9.5,8.3,8.5,7.9,8.7
2013,10.0,9.4,9.0,8.1,8.8,9.6,10.2,9.0,8.3,8.4,7.7,7.6
2014,8.4,8.5,8.3,7.0,7.5,7.6,8.4,7.3,6.5,6.3,5.8,5.6
2015,6.6,6.1,5.9,5.1,5.8,5.9,6.3,5.2,4.6,4.7,4.3,4.4
2016,5.1,5.1,5.3,4.5,4.5,5.2,5.8,5.2,4.8,4.8,4.2,4.5
2017,5.7,5.7,4.8,3.7,3.7,4.0,4.9,4.6,,,,
